Ticker,count_7_11_2022,nlp_7_11_2022,count_7_12_2022,nlp_7_12_2022,count_7_15_2022,nlp_7_15_2022,count_7_17_2022,nlp_7_17_2022,count_7_18_2022,nlp_7_18_2022,count_7_19_2022,nlp_7_19_2022,count_7_20_2022,nlp_7_20_2022,count_7_22_2022,nlp_7_22_2022,count_7_23_2022,nlp_7_23_2022,count_7_27_2022,nlp_7_27_2022,count_7_28_2022,nlp_7_28_2022,count_7_29_2022,nlp_7_29_2022,count_8_1_2022,nlp_8_1_2022,count_8_2_2022,nlp_8_2_2022,count_8_3_2022,nlp_8_3_2022,count_8_4_2022,nlp_8_4_2022,count_8_5_2022,nlp_8_5_2022,count_8_8_2022,nlp_8_8_2022,count_8_9_2022,nlp_8_9_2022,count_8_15_2022,nlp_8_15_2022,count_8_16_2022,nlp_8_16_2022,count_8_17_2022,nlp_8_17_2022,count_8_18_2022,nlp_8_18_2022,count_8_22_2022,nlp_8_22_2022,count_8_23_2022,nlp_8_23_2022
NKE,4.0,0.8657999999999999,4.0,0.8657999999999999,2.0,0.7373,1.0,0.4753,1.0,0.4753,1.0,0.4753,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6581,,,,,,,,,,,,,,
WFC,2.0,0.9935,2.0,0.9935,2.0,0.18235,2.0,0.18235,2.0,0.18235,2.0,0.18235,1.0,0.9886,1.0,0.9886,1.0,0.9886,,,,,,,,,,,,,,,,,,,,,1.0,-0.9987,,,,,,,,,,
CMCSA,1.0,0.8176,1.0,0.8176,1.0,0.8176,1.0,0.8176,1.0,0.8176,1.0,0.8176,1.0,0.8176,,,1.0,0.9442,1.0,0.9786,2.0,0.9873,2.0,0.9873,2.0,0.9873,2.0,0.9873,2.0,0.9873,1.0,0.996,1.0,0.996,1.0,0.996,,,,,,,,,,,,,,
TMO,,,,,,,,,,,,,,,,,1.0,0.9442,1.0,0.9786,2.0,0.56585,2.0,0.56585,2.0,0.56585,2.0,0.56585,2.0,0.56585,1.0,0.1531,1.0,0.1531,,,,,,,,,,,,,,,,
ABT,1.0,-0.2023,1.0,-0.2023,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,1.0,-0.6161,1.0,-0.6161,1.0,-0.6161,1.0,-0.6161,,,,,1.0,0.7935,1.0,0.7935,1.0,0.7935,2.0,0.86965,2.0,0.86965,1.0,0.7935,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,
ORCL,,,1.0,0.833,1.0,0.833,1.0,0.833,1.0,0.833,1.0,0.833,1.0,0.833,1.0,0.833,1.0,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM,,,2.0,0.6972,2.0,0.6972,2.0,0.6972,2.0,0.6972,2.0,0.6972,2.0,0.6972,2.0,0.6972,2.0,0.6972,1.0,0.996,1.0,0.996,1.0,0.996,1.0,0.996,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,1.0,0.9988,,,,,,,,,1.0,0.2732,,
MRK,3.0,0.2691999999999999,1.0,0.9962,1.0,0.9962,1.0,0.9962,2.0,0.9642,2.0,0.9642,3.0,0.975,2.0,0.9644,3.0,0.9576666666666668,3.0,0.9691333333333332,3.0,0.9691333333333332,3.0,0.9691333333333332,2.0,0.9876,1.0,0.9786,1.0,0.9786,,,,,,,,,,,,,,,,,,,,
AMD,19.0,0.2460157894736841,21.0,0.2572238095238095,21.0,0.3808761904761905,16.0,0.4424125,17.0,0.386235294117647,17.0,0.3906117647058824,14.0,0.3293642857142857,11.0,0.2381818181818182,9.0,0.3838111111111111,4.0,0.48565,8.0,0.5588500000000001,12.0,0.4489833333333333,25.0,0.28434,30.0,0.29477,29.0,0.2594655172413793,31.0,0.2282709677419354,20.0,0.354815,18.0,0.6540444444444444,21.0,0.6167857142857143,18.0,0.710861111111111,12.0,0.7980666666666667,11.0,0.7946181818181818,13.0,0.8104538461538462,9.0,0.8274222222222222,9.0,0.8274222222222222
DHR,,,,,,,,,,,,,,,1.0,0.9987,1.0,0.9987,1.0,0.9987,1.0,0.9987,1.0,0.9987,1.0,0.9987,1.0,0.9987,,,,,,,,,,,,,,,,,,,,,,
MCD,,,,,,,,,,,,,,,,,1.0,0.9442,4.0,0.2609749999999999,4.0,0.2609749999999999,3.0,0.6486999999999999,3.0,0.6486999999999999,3.0,0.6486999999999999,4.0,0.647225,3.0,0.5367666666666667,4.0,0.6344000000000001,2.0,0.80515,1.0,0.6428,1.0,0.6428,,,,,,,,,,
QCOM,2.0,0.2434,2.0,0.2434,1.0,0.9163,1.0,0.9163,,,,,,,,,1.0,0.9442,2.0,0.98575,3.0,0.9891666666666667,3.0,0.9891666666666667,3.0,0.9891666666666667,3.0,0.9891666666666667,3.0,0.9891666666666667,2.0,0.99445,1.0,0.996,1.0,0.996,1.0,0.7303,1.0,0.7303,1.0,0.7303,1.0,0.7303,1.0,0.7303,,,1.0,0.9176
INTC,6.0,0.5002,6.0,0.5002,6.0,0.3347333333333333,4.0,0.4451,2.0,-0.05895,1.0,-0.1179,1.0,-0.1179,1.0,-0.1179,2.0,0.41315,5.0,0.5223000000000001,5.0,0.5223000000000001,10.0,0.51518,8.0,0.5759375,11.0,0.5650272727272728,8.0,0.5829625,6.0,0.59875,4.0,0.656975,4.0,0.656975,7.0,0.5882857142857143,4.0,0.6162000000000001,3.0,0.4967,3.0,0.4967,3.0,0.4967,3.0,0.1726666666666666,3.0,0.17266666666666666
UPS,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,2.0,0.89715,6.0,0.6540666666666667,5.0,0.96922,6.0,0.7242999999999999,6.0,0.8454,7.0,0.8673142857142857,7.0,0.8673142857142857,5.0,0.97326,3.0,0.9880666666666666,2.0,0.98315,1.0,0.9988,,,,,,,,,,,,
NFLX,8.0,0.2411124999999999,8.0,0.3027375,6.0,0.5147666666666667,8.0,0.5071375,9.0,0.5235222222222222,14.0,0.3913785714285714,22.0,0.1872090909090909,23.0,0.2091782608695652,22.0,0.1824863636363637,7.0,0.7108428571428572,4.0,0.85885,4.0,0.85885,6.0,0.7739833333333334,4.0,0.7864,4.0,0.7864,4.0,0.7864,1.0,0.9442,1.0,0.0,1.0,0.0,3.0,0.3952666666666666,3.0,0.3952666666666666,3.0,0.3952666666666666,4.0,0.532175,4.0,0.539025,4.0,0.539025
T,5.0,0.80988,5.0,0.80988,4.0,0.8115249999999999,6.0,0.7739333333333334,8.0,0.4292124999999999,8.0,0.4292124999999999,8.0,0.4127875,6.0,0.4898499999999999,8.0,0.3765624999999999,9.0,0.5217222222222223,8.0,0.6680875000000001,10.0,0.6248900000000001,9.0,0.6538111111111111,8.0,0.6321,7.0,0.5797285714285715,6.0,0.51325,5.0,0.53258,2.0,0.4521,3.0,0.0723666666666666,2.0,0.4521,2.0,0.4521,2.0,0.4521,2.0,0.4521,1.0,0.9994,,
MS,3.0,0.8375,3.0,0.8375,3.0,0.8676,4.0,0.89015,4.0,0.89015,4.0,0.812975,6.0,0.6477333333333333,6.0,0.6477333333333333,6.0,0.6477333333333333,3.0,0.8474333333333334,2.0,0.7786,1.0,0.5994,2.0,0.9118,2.0,0.9118,2.0,0.9118,2.0,0.9118,2.0,0.9118,2.0,0.9118,3.0,0.3639,1.0,0.5267,1.0,0.5267,1.0,0.5267,1.0,0.5267,1.0,0.5267,1.0,0.5267
PM,2.0,0.0356,3.0,0.2050333333333333,8.0,-0.0263624999999999,8.0,-0.0263624999999999,6.0,0.4229833333333333,3.0,0.8397,2.0,0.78965,3.0,0.3160333333333333,2.0,0.03455,4.0,-0.0501499999999999,5.0,0.28608,7.0,0.3766428571428571,6.0,0.2617833333333333,5.0,0.1182199999999999,2.0,0.97565,2.0,0.97565,4.0,0.0130249999999999,6.0,0.6116666666666667,6.0,0.2935166666666666,5.0,0.5755999999999999,2.0,-0.16645,6.0,0.2490166666666666,2.0,-0.46835,1.0,0.9883,3.0,0.2579666666666666
SCHW,,,,,1.0,0.7003,1.0,0.7003,2.0,0.35015,2.0,0.35015,2.0,0.35015,1.0,0.7003,1.0,0.7003,2.0,0.8466,1.0,0.9929,1.0,0.9929,2.0,0.8466,2.0,0.8466,2.0,0.8466,2.0,0.8466,1.0,0.7003,1.0,0.7003,1.0,0.7003,,,,,,,,,,,,
UNP,1.0,0.8658,1.0,0.8658,2.0,0.78305,2.0,0.78305,2.0,0.78305,2.0,0.78305,2.0,0.78305,1.0,0.7003,1.0,0.7003,1.0,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMUS,1.0,-0.937,,,,,,,,,,,,,,,1.0,0.9442,2.0,0.9873,2.0,0.9873,2.0,0.9873,2.0,0.9873,1.0,0.9786,1.0,0.9786,,,,,,,,,,,1.0,0.4983,1.0,0.4983,1.0,0.4983,1.0,0.4983,1.0,0.4983
TXN,1.0,0.9163,1.0,0.9163,1.0,0.9163,1.0,0.9163,,,,,,,,,1.0,0.9442,3.0,0.9709333333333334,3.0,0.9709333333333334,3.0,0.9709333333333334,3.0,0.9709333333333334,2.0,0.9584,2.0,0.9584,1.0,0.9382,1.0,0.9382,,,,,,,1.0,0.9129,1.0,0.9129,1.0,0.9129,1.0,0.9129,1.0,0.9129
AXP,,,1.0,0.9829,2.0,0.8416,3.0,0.8839,3.0,0.8839,3.0,0.8839,3.0,0.8839,3.0,0.8925,3.0,0.8925,3.0,0.8958333333333334,2.0,0.9936,2.0,0.9936,2.0,0.9936,2.0,0.9936,2.0,0.9936,2.0,0.99375,1.0,0.9946,,,,,,,,,,,,,,,,
BMY,,,,,,,,,,,,,,,,,1.0,0.9442,1.0,0.9786,1.0,0.9786,1.0,0.9786,1.0,0.9786,1.0,0.9786,1.0,0.9786,,,,,,,,,,,,,,,,,,,,
NEE,,,,,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,1.0,0.7003,2.0,0.84815,1.0,0.996,1.0,0.996,1.0,0.996,,,,,,,,,,,,,,,,,,,,,,,,
LOW,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8472,2.0,0.4699,2.0,0.4699,2.0,0.4699,1.0,0.8472,2.0,0.0819499999999999,3.0,0.3530666666666666,2.0,0.5166999999999999,,,1.0,-0.8163,1.0,0.9969,2.0,0.917,2.0,0.04415,3.0,0.12333333333333334
RTX,4.0,0.784125,4.0,0.784125,3.0,0.7532666666666666,3.0,0.7532666666666666,2.0,0.8634,2.0,0.8634,2.0,0.8634,1.0,0.8501,2.0,0.89715,2.0,0.98825,2.0,0.98825,2.0,0.98825,2.0,0.98825,2.0,0.98825,2.0,0.98825,1.0,0.9979,1.0,0.9979,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995
INTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS,1.0,0.9788,1.0,0.9788,1.0,0.9788,3.0,0.2722333333333333,3.0,0.2722333333333333,3.0,0.2722333333333333,3.0,0.2722333333333333,1.0,0.9788,1.0,0.9788,,,,,,,1.0,0.4753,1.0,0.4753,4.0,0.543625,5.0,0.4349,5.0,0.4349,6.0,0.5284833333333333,6.0,0.5284833333333333,5.0,0.5391199999999999,2.0,0.4982,1.0,0.9964,1.0,0.9964,2.0,0.7321,2.0,0.7321
C,8.0,0.8830874999999999,8.0,0.8830874999999999,9.0,0.5689333333333333,8.0,0.5684875,8.0,0.48335,8.0,0.4834125,7.0,0.1664142857142857,6.0,0.19915,6.0,0.19915,8.0,0.269175,5.0,0.33418,7.0,0.5535857142857142,7.0,0.7070000000000001,6.0,0.7573333333333334,6.0,0.5673,8.0,0.48105,9.0,0.4683111111111111,8.0,0.78395,7.0,0.7296142857142858,1.0,0.9277,2.0,0.8916,3.0,0.6291666666666665,2.0,0.0088499999999999,5.0,0.8020200000000001,4.0,0.75255
HON,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,1.0,0.8501,2.0,0.89715,2.0,0.32475,2.0,0.32475,2.0,0.32475,1.0,0.9786,1.0,0.9786,1.0,0.9786,,,,,,,,,,,,,,,,,,,,
AMGN,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4753,1.0,0.4753,1.0,0.4753,1.0,0.4753,1.0,0.4753,1.0,0.4753,1.0,0.4753,,,,,,,,,,,,
PYPL,2.0,0.0277499999999999,2.0,0.0277499999999999,3.0,-0.0715333333333333,3.0,-0.0715333333333333,3.0,-0.0715333333333333,3.0,-0.0715333333333333,1.0,-0.8444,1.0,-0.8444,1.0,-0.8444,5.0,0.4371,5.0,0.4371,5.0,0.4371,5.0,0.8108599999999999,6.0,0.6050333333333333,9.0,0.4735999999999999,10.0,0.3063599999999999,7.0,0.2141142857142857,2.0,0.23765,2.0,0.23765,1.0,0.0,,,,,,,,,,
BA,3.0,0.9403,4.0,0.912,2.0,0.91345,2.0,0.91345,3.0,0.9197,4.0,0.937525,4.0,0.937525,2.0,0.9616,3.0,0.9558,6.0,0.9640833333333334,6.0,0.9640833333333334,6.0,0.9640833333333334,4.0,0.9898,4.0,0.9898,4.0,0.9898,3.0,0.9935333333333332,2.0,0.99385,3.0,0.9894333333333334,3.0,0.4364666666666667,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995
